Mã sách,Tên sách,Lượt bán,Giá,Tác giả,Người dịch,Ngôn ngữ,Năm xuất bản,Xu hướng,Hình thức,Ratings,Thể loại,Link,Số trang
8935325015618,999 Lá Thư Gửi Cho Chính Mình - Tô Màu Cuộc Sống,3.6k,99.000 đ,"Miêu Công Tử, Hà Trang (Tahtag)",Quỳnh Nhi,Tiếng Việt,2023,Bestseller,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/999-la-thu-gui-cho-chinh-minh-to-mau-cuoc-song.html,104
8935235217508,Điều Kỳ Diệu Của Tiệm Tạp Hóa Namiya (Tái Bản 2018),987,105.000 đ,Higashino Keigo,N/A,N/A,2023,No,Bìa Mềm,4.85/5 (0 đánh giá),Văn Học,https://www.fahasa.com/dieu-ky-dieu-cua-tiem-tap-hoa-namiya-tai-ban-2018.html,358
8935325023309,Người Ếch - Kẻ Giết Người Hàng Loạt,112,157.000 đ,Shichiri Nakayama,Thùy Vân,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/nguoi-ech-ke-giet-nguoi-hang-loat.html,336
8935235237773,Người Đua Diều,670,129.000 đ,Khaled Hosseini,Nguyễn Bản,N/A,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/nguoi-dua-dieu-427401.html,460
8935325013942,Sĩ Số Lớp Vắng 0,777,102.000 đ,Emma Hạ My,N/A,Tiếng Việt,2023,No,Bìa Mềm,5.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/si-so-lop-vang-0.html,264
8934974186083,"Beartown - Thị Trấn Nhỏ, Giấc Mơ Lớn",373,210.000 đ,Fredrik Backman,Hoàng Anh,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/beartown-thi-tran-nho-giac-mo-lon.html,604
8935325012334,Khó Dỗ Dành - Tập 1 - Tặng Kèm Bookmark Bồi Cứng,173,205.000 đ,Trúc Dĩ,An,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/kho-do-danh-tap-1-tang-kem-bookmark-boi-cung.html,480
8935244867299,[Light Novel] Dược Sư Tự Sự - Tập 1,211,110.000 đ,"Natsu Hyuuga, Touko Shino",Hoàng Ly,Tiếng Việt,2022,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/duoc-su-tu-su-light-novel-tap-1.html,408
8934974180098,Nỗi Buồn Chiến Tranh (Tái Bản 2022),327,130.000 đ,Bảo Ninh,N/A,N/A,2022,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/noi-buon-chien-tranh-tai-ban-2022.html,352
8935280918689,Triệu Lá Thư Gửi Mẹ - Bìa Cứng,72,199.000 đ,"Mu Ye, You Ya",Lê Tùng Dương,Tiếng Việt,2025,No,Bìa Cứng,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/trieu-la-thu-gui-me-bia-cung.html,122
N/A,Khó Dỗ Dành Tập Tặng Kèm Bookmark Bồi Cứng,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Văn Học,https://www.fahasa.com/seriesbook-index-series-id-999574.html,N/A
8935325017797,Ghi Chép Pháp Y - Những Thi Thể Không Hoàn Chỉnh,1.9k,130.000 đ,Lưu Bát Bách,Linh Tử,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ghi-chep-phap-y-nhung-thi-the-khong-hoan-chinh.html,272
8935325017797,Ghi Chép Pháp Y - Những Thi Thể Không Hoàn Chỉnh,1.9k,130.000 đ,Lưu Bát Bách,Linh Tử,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ghi-chep-phap-y-nhung-thi-the-khong-hoan-chinh.html,272
8935325012594,Khó Dỗ Dành - Tập 2 - Tặng Kèm Bookmark Bồi Cứng,186,205.000 đ,Trúc Dĩ,An,Tiếng Việt,2023,No,Bìa Mềm,5.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/kho-do-danh-tap-2-tang-kem-bookmark-boi-cung.html,496
8934974179672,Harry Potter Và Hòn Đá Phù Thuỷ - Tập 1 (Tái Bản),408,150.000 đ,"J.K.Rowling, Lý Lan",N/A,N/A,2022,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/harry-potter-va-hon-da-phu-thuy-tap-1-tai-ban.html,366
8935325026508,Khi Hai Ta Về Một Nhà,41,98.000 đ,Ông Thỉ Bà Long,N/A,Tiếng Việt,2025,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/khi-hai-ta-ve-mot-nha.html,152
8935095631520,Không Gia Đình,366,160.000 đ,Hector Malot,Như Phong,N/A,2021,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/khong-gia-dinh-372504.html,613
8935095633272,Thần Thoại Hy Lạp - Bìa Cứng (Tái Bản 2023),407,295.000 đ,Nhiều Tác Giả,Nguyễn Văn Khỏa,Tiếng Việt,2023,No,Bìa Cứng,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/than-thoai-hy-lap-bia-cung-tai-ban-2023.html,716
8935325009433,Ghi Chép Pháp Y - Những Cái Chết Bí Ẩn,1.5k,150.000 đ,Lưu Hiểu Huy,Bùi Thanh Thúy,Tiếng Việt,2022,No,Bìa Mềm,4.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ghi-chep-phap-y-nhung-cai-chet-bi-an.html,344
8934974189640,Mùa Hè Không Tên - Tặng Kèm Bookmark 2 Mặt + Poster Tranh,1.1k,130.000 đ,Nguyễn Nhật Ánh,N/A,Tiếng Việt,2023,No,Bìa Mềm,5.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/mua-he-khong-ten-tang-kem-bookmark-2-mat-poster-tranh.html,292
8936214273027,Tớ Có Nuôi Một Chú Mèo Cam,398,68.000 đ,Little Rainbow,N/A,N/A,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/to-co-nuoi-mot-chu-meo-cam.html,64
