Mã sách,Tên sách,Lượt bán,Giá,Tác giả,Người dịch,Ngôn ngữ,Năm xuất bản,Xu hướng,Hình thức,Ratings,Thể loại,Link,Số trang
8935235232099,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,841,135000,Ocean Vuong,Ocean Vuong,Tiếng Việt,2021-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/mot-thoang-ta-ruc-ro-o-nhan-gian.html,304.0
8935235242173,Sưởi Ấm Mặt Trời - Phần Tiếp Theo Của Cây Cam Ngọt Của Tôi,1400,160000,Joses Mauro De Vasconcelos,Đặng Bảo Kim,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/suoi-am-mat-troi-phan-tiep-theo-cua-cay-cam-ngot-cua-toi.html,376.0
8934974206378,Tiệm Sách Của Nàng - Tặng Kèm Bookmark Photostrip + Sổ Tay Màu Ngẫu Nhiên,1300,125000,Nguyễn Nhật Ánh,Nguyễn Nhật Ánh,Tiếng Việt,2024-01-01,1,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/tiem-sach-cua-nang-tang-kem-bookmark-photostrip-so-tay-mau-ngau-nhien.html,272.0
8935325015618,999 Lá Thư Gửi Cho Chính Mình - Tô Màu Cuộc Sống,3600,99000,"Miêu Công Tử, Hà Trang (Tahtag)",Quỳnh Nhi,Tiếng Việt,2023-01-01,1,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/999-la-thu-gui-cho-chinh-minh-to-mau-cuoc-song.html,104.0
8935235217508,Điều Kỳ Diệu Của Tiệm Tạp Hóa Namiya (Tái Bản 2018),987,105000,Higashino Keigo,Higashino Keigo,Tiếng Việt,2023-01-01,0,Bìa Mềm,4.85,Văn Học,https://www.fahasa.com/dieu-ky-dieu-cua-tiem-tap-hoa-namiya-tai-ban-2018.html,358.0
8935325023309,Người Ếch - Kẻ Giết Người Hàng Loạt,112,157000,Shichiri Nakayama,Thùy Vân,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/nguoi-ech-ke-giet-nguoi-hang-loat.html,336.0
8935235237773,Người Đua Diều,670,129000,Khaled Hosseini,Nguyễn Bản,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/nguoi-dua-dieu-427401.html,460.0
8935325013942,Sĩ Số Lớp Vắng 0,777,102000,Emma Hạ My,Emma Hạ My,Tiếng Việt,2023-01-01,0,Bìa Mềm,5.0,Văn Học,https://www.fahasa.com/si-so-lop-vang-0.html,264.0
8934974186083,"Beartown - Thị Trấn Nhỏ, Giấc Mơ Lớn",373,210000,Fredrik Backman,Hoàng Anh,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/beartown-thi-tran-nho-giac-mo-lon.html,604.0
8935325012334,Khó Dỗ Dành - Tập 1 - Tặng Kèm Bookmark Bồi Cứng,173,205000,Trúc Dĩ,An,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/kho-do-danh-tap-1-tang-kem-bookmark-boi-cung.html,480.0
8935244867299,[Light Novel] Dược Sư Tự Sự - Tập 1,211,110000,"Natsu Hyuuga, Touko Shino",Hoàng Ly,Tiếng Việt,2022-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/duoc-su-tu-su-light-novel-tap-1.html,408.0
8934974180098,Nỗi Buồn Chiến Tranh (Tái Bản 2022),327,130000,Bảo Ninh,Bảo Ninh,Tiếng Việt,2022-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/noi-buon-chien-tranh-tai-ban-2022.html,352.0
8935280918689,Triệu Lá Thư Gửi Mẹ - Bìa Cứng,72,199000,"Mu Ye, You Ya",Lê Tùng Dương,Tiếng Việt,2025-01-01,0,Bìa Cứng,0.0,Văn Học,https://www.fahasa.com/trieu-la-thu-gui-me-bia-cung.html,122.0
8935325017797,Ghi Chép Pháp Y - Những Thi Thể Không Hoàn Chỉnh,1900,130000,Lưu Bát Bách,Linh Tử,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/ghi-chep-phap-y-nhung-thi-the-khong-hoan-chinh.html,272.0
8935325012594,Khó Dỗ Dành - Tập 2 - Tặng Kèm Bookmark Bồi Cứng,186,205000,Trúc Dĩ,An,Tiếng Việt,2023-01-01,0,Bìa Mềm,5.0,Văn Học,https://www.fahasa.com/kho-do-danh-tap-2-tang-kem-bookmark-boi-cung.html,496.0
8934974179672,Harry Potter Và Hòn Đá Phù Thuỷ - Tập 1 (Tái Bản),408,150000,"J.K.Rowling, Lý Lan","J.K.Rowling, Lý Lan",Tiếng Việt,2022-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/harry-potter-va-hon-da-phu-thuy-tap-1-tai-ban.html,366.0
8935325026508,Khi Hai Ta Về Một Nhà,41,98000,Ông Thỉ Bà Long,Ông Thỉ Bà Long,Tiếng Việt,2025-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/khi-hai-ta-ve-mot-nha.html,152.0
8935095631520,Không Gia Đình,366,160000,Hector Malot,Như Phong,Tiếng Việt,2021-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/khong-gia-dinh-372504.html,613.0
8935095633272,Thần Thoại Hy Lạp - Bìa Cứng (Tái Bản 2023),407,295000,Nhiều Tác Giả,Nguyễn Văn Khỏa,Tiếng Việt,2023-01-01,0,Bìa Cứng,0.0,Văn Học,https://www.fahasa.com/than-thoai-hy-lap-bia-cung-tai-ban-2023.html,716.0
8935325009433,Ghi Chép Pháp Y - Những Cái Chết Bí Ẩn,1500,150000,Lưu Hiểu Huy,Bùi Thanh Thúy,Tiếng Việt,2022-01-01,0,Bìa Mềm,4.0,Văn Học,https://www.fahasa.com/ghi-chep-phap-y-nhung-cai-chet-bi-an.html,344.0
8934974189640,Mùa Hè Không Tên - Tặng Kèm Bookmark 2 Mặt + Poster Tranh,1100,130000,Nguyễn Nhật Ánh,Nguyễn Nhật Ánh,Tiếng Việt,2023-01-01,0,Bìa Mềm,5.0,Văn Học,https://www.fahasa.com/mua-he-khong-ten-tang-kem-bookmark-2-mat-poster-tranh.html,292.0
8936214273027,Tớ Có Nuôi Một Chú Mèo Cam,398,68000,Little Rainbow,Little Rainbow,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/to-co-nuoi-mot-chu-meo-cam.html,64.0
8935352621080,Chung Một Mái Nhà - Tập 3 - Bản Giới Hạn - Tặng Kèm Set 2 Bookmark + Lót Ly 2 Mặt,237,105000,"Ghost Mikawa, Hiten",KouEi,Tiếng Việt,2025-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/chung-mot-mai-nha-tap-3-ban-gioi-han-tang-kem-set-2-bookmark-lot-ly-2-mat.html,324.0
